tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,adm2_name,adm2_code,population,loss,wind_cat
2026,SH042026,CHENGE,2025-10-16 06:00,2025-10-21 18:00,JTWC,Comoros,COM,Mwali,COM.1_1,,No Adm2,112,0.0024330433753615875,"{0: 112, 1: 122}"
2026,SH042026,CHENGE,2025-10-16 06:00,2025-10-21 18:00,JTWC,Comoros,COM,Njazídja,COM.2_1,,No Adm2,4397,28.750920044473546,"{0: 112, 1: 122}"
2026,SH042026,CHENGE,2025-10-16 06:00,2025-10-21 18:00,JTWC,Comoros,COM,Nzwani,COM.3_1,,No Adm2,294,0.1744215688268569,"{0: 112, 1: 122}"
2026,SH042026,CHENGE,2025-10-16 06:00,2025-10-21 18:00,JTWC,Madagascar,MDG,Antsiranana,MDG.2_1,Diana,MDG.2.1_1,6248,2.6924189863979686,{0: 6248}
2026,SH042026,CHENGE,2025-10-16 06:00,2025-10-21 18:00,JTWC,Mauritius,MUS,Agalega Islands,MUS.1_1,,No Adm2,122,16511.622501022735,"{0: 112, 1: 122}"
2026,SH042026,CHENGE,2025-10-16 06:00,2025-10-21 18:00,JTWC,Mozambique,MOZ,Cabo Delgado,MOZ.1_1,Palma,MOZ.1.13_1,999,0.1912168577320986,{0: 999}
2026,SH042026,CHENGE,2025-10-16 06:00,2025-10-21 18:00,JTWC,Seychelles,SYC,Outer Islands,SYC.20_1,,No Adm2,283,9288.275619097114,"{0: 112, 1: 122}"
2026,SH042026,CHENGE,2025-10-16 06:00,2025-10-21 18:00,JTWC,Tanzania,TZA,Mtwara,TZA.15_1,Mtwara Rural,TZA.15.3_1,396,1.5482021967029145,{0: 396}
