tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,adm2_name,adm2_code,population,loss,wind_cat
2026,SH212026,GEZANI,2026-01-31 18:00,2026-02-11 12:00,JTWC,Madagascar,MDG,Antananarivo,MDG.1_1,Bongolava,MDG.1.2_1,39451,149.54002084024748,{0: 39451}
2026,SH212026,GEZANI,2026-01-31 18:00,2026-02-11 12:00,JTWC,Madagascar,MDG,Antananarivo,MDG.1_1,Itasy,MDG.1.3_1,14817,1.286545359902764,{0: 14817}
2026,SH212026,GEZANI,2026-01-31 18:00,2026-02-11 12:00,JTWC,Madagascar,MDG,Antananarivo,MDG.1_1,Vakinankaratra,MDG.1.4_1,78190,64.60845997555964,{0: 78190}
2026,SH212026,GEZANI,2026-01-31 18:00,2026-02-11 12:00,JTWC,Madagascar,MDG,Fianarantsoa,MDG.3_1,Amoron'i mania,MDG.3.1_1,13365,19.455559537343728,{0: 13365}
2026,SH212026,GEZANI,2026-01-31 18:00,2026-02-11 12:00,JTWC,Madagascar,MDG,Fianarantsoa,MDG.3_1,Haute matsiatra,MDG.3.3_1,753,0.09152437478313999,{0: 753}
2026,SH212026,GEZANI,2026-01-31 18:00,2026-02-11 12:00,JTWC,Madagascar,MDG,Fianarantsoa,MDG.3_1,Ihorombe,MDG.3.4_1,20,0.00021666721957602097,{0: 20}
2026,SH212026,GEZANI,2026-01-31 18:00,2026-02-11 12:00,JTWC,Madagascar,MDG,Mahajanga,MDG.4_1,Melaky,MDG.4.3_1,22585,1030.658331144999,"{0: 21919, 1: 666}"
2026,SH212026,GEZANI,2026-01-31 18:00,2026-02-11 12:00,JTWC,Madagascar,MDG,Toliary,MDG.6_1,Atsimo-Andrefana,MDG.6.3_1,53870,918.1635202117924,{0: 53870}
2026,SH212026,GEZANI,2026-01-31 18:00,2026-02-11 12:00,JTWC,Madagascar,MDG,Toliary,MDG.6_1,Menabe,MDG.6.4_1,145120,11072.024042794532,"{0: 127247, 1: 17873}"
2026,SH212026,GEZANI,2026-01-31 18:00,2026-02-11 12:00,JTWC,Mozambique,MOZ,Gaza,MOZ.2_1,Chibuto,MOZ.2.2_1,19046,35.01857002720168,{0: 19046}
2026,SH212026,GEZANI,2026-01-31 18:00,2026-02-11 12:00,JTWC,Mozambique,MOZ,Gaza,MOZ.2_1,Chigubo,MOZ.2.4_1,3971,15.33851083125544,{0: 3971}
