tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,adm2_name,adm2_code,population,loss,wind_cat,wind_cat_0,wind_cat_1,wind_cat_2,wind_cat_3,wind_cat_4,wind_cat_5
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Amoron'i Mania,MDG,Ambatofinandrahana,MDG,130393,185.6,"{0: 130373, 1: 20}",130373,20,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Amoron'i Mania,MDG,Ambositra,MDG,156047,281.37,{0: 156047},156047,0,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Amoron'i Mania,MDG,Fandriana,MDG,89162,149.85,{0: 89162},89162,0,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Amoron'i Mania,MDG,Manandriana,MDG,45713,148.59,{0: 45713},45713,0,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Analamanga,MDG,Ambohidratrimo,MDG,334473,7.44,{0: 334473},334473,0,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Analamanga,MDG,Andramasina,MDG,26326,0.31,{0: 26326},26326,0,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Analamanga,MDG,Anjozorobe,MDG,1169,0.0,{0: 1169},1169,0,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Analamanga,MDG,Ankazobe,MDG,141822,352.61,{0: 141822},141822,0,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Analamanga,MDG,Antananarivo-Atsimondrano,MDG,3403,0.0,{0: 3403},3403,0,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Analamanga,MDG,Antananarivo-Avaradrano,MDG,72998,0.3,{0: 72998},72998,0,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Analamanga,MDG,Manjakandriana,MDG,145,0.0,{0: 145},145,0,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Atsinanana,MDG,Marolambo,MDG,2541,0.07,{0: 2541},2541,0,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Betsiboka,MDG,Kandreho,MDG,16288,4263.93,"{0: 5710, 1: 10578}",5710,10578,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Betsiboka,MDG,Maevatanana,MDG,40016,163.88,"{0: 39530, 1: 486}",39530,486,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Betsiboka,MDG,Tsaratanana,MDG,63,0.0,{0: 63},63,0,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Boeny,MDG,Ambatoboeny,MDG,127484,904.47,"{0: 115716, 1: 11768}",115716,11768,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Boeny,MDG,Mahajanga I,MDG,9848,10.76,{0: 9848},9848,0,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Boeny,MDG,Mahajanga II,MDG,242757,391.52,{0: 242757},242757,0,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Boeny,MDG,Marovoay,MDG,47441,4.56,{0: 47441},47441,0,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Boeny,MDG,Mitsinjo,MDG,45268,2058.4,"{0: 41515, 1: 3753}",41515,3753,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Boeny,MDG,Soalala,MDG,51295,45141.75,"{0: 2129, 1: 49020, 2: 146}",2129,49020,146,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Bongolava,MDG,Fenoarivobe,MDG,166202,14993.58,"{0: 105806, 1: 60396}",105806,60396,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Bongolava,MDG,Tsiroanomandidy,MDG,421491,51745.9,"{0: 83067, 1: 338424}",83067,338424,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Diana,MDG,Ambanja,MDG,204314,34127.05,"{0: 79290, 1: 125024}",79290,125024,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Diana,MDG,Ambilobe,MDG,240949,15867.54,"{0: 74304, 1: 166645}",74304,166645,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Diana,MDG,Antsiranana I,MDG,75115,47.26,{0: 75115},75115,0,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Diana,MDG,Antsiranana II,MDG,196220,1273.8,"{0: 189689, 1: 6531}",189689,6531,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,Diana,MDG,Nosy Be,MDG,136330,16521.33,{1: 136330},0,136330,0,0,0,0
