tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,adm2_name,adm2_code,population,loss,wind_cat,wind_cat_0,wind_cat_1,wind_cat_2,wind_cat_3,wind_cat_4,wind_cat_5
2020,SH222020,HEROLD,2020-03-13 06:00,2020-03-19 18:00,OFCL,Madagascar,MDG,Analanjirofo,MDG,Mananara,MDG,28795,7.82,{0: 28795},28795,0,0,0,0,0
2020,SH222020,HEROLD,2020-03-13 06:00,2020-03-19 18:00,OFCL,Madagascar,MDG,Analanjirofo,MDG,Maroantsetra,MDG,212718,18839.53,"{0: 165817, 1: 46901}",165817,46901,0,0,0,0
2020,SH222020,HEROLD,2020-03-13 06:00,2020-03-19 18:00,OFCL,Madagascar,MDG,Analanjirofo,MDG,Nosy Boraha,MDG,107,0.0,{0: 107},107,0,0,0,0,0
2020,SH222020,HEROLD,2020-03-13 06:00,2020-03-19 18:00,OFCL,Madagascar,MDG,Diana,MDG,Ambanja,MDG,1155,0.02,{0: 1155},1155,0,0,0,0,0
2020,SH222020,HEROLD,2020-03-13 06:00,2020-03-19 18:00,OFCL,Madagascar,MDG,Diana,MDG,Ambilobe,MDG,2243,0.06,{0: 2243},2243,0,0,0,0,0
2020,SH222020,HEROLD,2020-03-13 06:00,2020-03-19 18:00,OFCL,Madagascar,MDG,Sava,MDG,Andapa,MDG,137763,533.96,"{0: 124671, 1: 13092}",124671,13092,0,0,0,0
2020,SH222020,HEROLD,2020-03-13 06:00,2020-03-19 18:00,OFCL,Madagascar,MDG,Sava,MDG,Antalaha,MDG,242671,258370.97,"{0: 26148, 1: 206632, 2: 9891}",26148,206632,9891,0,0,0
2020,SH222020,HEROLD,2020-03-13 06:00,2020-03-19 18:00,OFCL,Madagascar,MDG,Sava,MDG,Sambava,MDG,260373,1305.24,"{0: 244407, 1: 15966}",244407,15966,0,0,0,0
2020,SH222020,HEROLD,2020-03-13 06:00,2020-03-19 18:00,OFCL,Madagascar,MDG,Sava,MDG,Vohimarina,MDG,16182,0.4,{0: 16182},16182,0,0,0,0,0
2020,SH222020,HEROLD,2020-03-13 06:00,2020-03-19 18:00,OFCL,Madagascar,MDG,Sofia,MDG,Bealanana,MDG,51898,35.42,{0: 51898},51898,0,0,0,0,0
2020,SH222020,HEROLD,2020-03-13 06:00,2020-03-19 18:00,OFCL,Madagascar,MDG,Sofia,MDG,Befandriana Avaratra,MDG,68046,425.53,"{0: 67986, 1: 60}",67986,60,0,0,0,0
2020,SH222020,HEROLD,2020-03-13 06:00,2020-03-19 18:00,OFCL,Madagascar,MDG,Sofia,MDG,Mandritsara,MDG,16605,0.98,{0: 16605},16605,0,0,0,0,0
2020,SH222020,HEROLD,2020-03-13 06:00,2020-03-19 18:00,OFCL,Mauritius,MUS,,No Adm1,,No Adm2,43525,44403813.32,"{2: 22290, 3: 21235}",0,0,22290,21235,0,0
