tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,population,loss,wind_cat,wind_cat_0,wind_cat_1,wind_cat_2,wind_cat_3,wind_cat_4,wind_cat_5
2013,SH072013,DUMILE,2012-12-29 12:00,2013-01-05 12:00,OFCL,Reunion,REU,Arrondissement_du_vent,REU,256754,3163891.91,"{1: 181008, 2: 75746}",0,181008,75746,0,0,0
2013,SH072013,DUMILE,2012-12-29 12:00,2013-01-05 12:00,OFCL,Reunion,REU,Arrondissement_souse_le_vent,REU,447764,12021309.38,"{0: 1492, 1: 312574, 2: 133698}",1492,312574,133698,0,0,0
2013,SH072013,DUMILE,2012-12-29 12:00,2013-01-05 12:00,OFCL,Seychelles,SYC,Beau Vallon,SYC.8_1,0,0.01,{0: 0},0,0,0,0,0,0
