tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,adm2_name,adm2_code,population,loss,wind_cat,wind_cat_0,wind_cat_1,wind_cat_2,wind_cat_3,wind_cat_4,wind_cat_5
2011,SH132011,BINGIZA,2011-02-08 12:00,2011-02-18 00:00,OFCL,Madagascar,MDG,Alaotra Mangoro,MDG,Ambatondrazaka,MDG,332641,1320799.31,"{0: 5888, 1: 172465, 2: 154288}",5888,172465,154288,0,0,0
2011,SH132011,BINGIZA,2011-02-08 12:00,2011-02-18 00:00,OFCL,Madagascar,MDG,Alaotra Mangoro,MDG,Amparafaravola,MDG,289152,9488053.9,"{1: 7684, 2: 248661, 3: 32807}",0,7684,248661,32807,0,0
2011,SH132011,BINGIZA,2011-02-08 12:00,2011-02-18 00:00,OFCL,Madagascar,MDG,Alaotra Mangoro,MDG,Andilamena,MDG,90134,8153473.69,"{1: 31, 2: 21945, 3: 68158}",0,31,21945,68158,0,0
2011,SH132011,BINGIZA,2011-02-08 12:00,2011-02-18 00:00,OFCL,Madagascar,MDG,Alaotra Mangoro,MDG,Anosibe An'Ala,MDG,42334,49.96,{0: 42334},42334,0,0,0,0,0
2011,SH132011,BINGIZA,2011-02-08 12:00,2011-02-18 00:00,OFCL,Madagascar,MDG,Alaotra Mangoro,MDG,Moramanga,MDG,240273,63405.06,"{0: 87187, 1: 153026, 2: 60}",87187,153026,60,0,0,0
2011,SH132011,BINGIZA,2011-02-08 12:00,2011-02-18 00:00,OFCL,Madagascar,MDG,Amoron'i Mania,MDG,Ambatofinandrahana,MDG,75117,92.67,{0: 75117},75117,0,0,0,0,0
2011,SH132011,BINGIZA,2011-02-08 12:00,2011-02-18 00:00,OFCL,Madagascar,MDG,Amoron'i Mania,MDG,Ambositra,MDG,72863,57.41,{0: 72863},72863,0,0,0,0,0
2011,SH132011,BINGIZA,2011-02-08 12:00,2011-02-18 00:00,OFCL,Madagascar,MDG,Amoron'i Mania,MDG,Fandriana,MDG,100063,338.85,{0: 100063},100063,0,0,0,0,0
2011,SH132011,BINGIZA,2011-02-08 12:00,2011-02-18 00:00,OFCL,Madagascar,MDG,Amoron'i Mania,MDG,Manandriana,MDG,18364,4.73,{0: 18364},18364,0,0,0,0,0
2011,SH132011,BINGIZA,2011-02-08 12:00,2011-02-18 00:00,OFCL,Madagascar,MDG,Analamanga,MDG,Ambohidratrimo,MDG,763220,95918.33,"{0: 79168, 1: 684052}",79168,684052,0,0,0,0
2011,SH132011,BINGIZA,2011-02-08 12:00,2011-02-18 00:00,OFCL,Madagascar,MDG,Analamanga,MDG,Andramasina,MDG,158502,21609.8,"{0: 40949, 1: 117553}",40949,117553,0,0,0,0
2011,SH132011,BINGIZA,2011-02-08 12:00,2011-02-18 00:00,OFCL,Madagascar,MDG,Analamanga,MDG,Anjozorobe,MDG,177568,427547.69,"{0: 12758, 1: 146459, 2: 18351}",12758,146459,18351,0,0,0
2011,SH132011,BINGIZA,2011-02-08 12:00,2011-02-18 00:00,OFCL,Madagascar,MDG,Analamanga,MDG,Ankazobe,MDG,197311,121040.97,"{0: 39902, 1: 157357, 2: 52}",39902,157357,52,0,0,0
2011,SH132011,BINGIZA,2011-02-08 12:00,2011-02-18 00:00,OFCL,Madagascar,MDG,Analamanga,MDG,Antananarivo-Atsimondrano,MDG,1915297,41568.42,"{0: 336681, 1: 1578616}",336681,1578616,0,0,0,0
2011,SH132011,BINGIZA,2011-02-08 12:00,2011-02-18 00:00,OFCL,Madagascar,MDG,Analamanga,MDG,Antananarivo-Avaradrano,MDG,1045828,19516.89,"{0: 519631, 1: 526197}",519631,526197,0,0,0,0
2011,SH132011,BINGIZA,2011-02-08 12:00,2011-02-18 00:00,OFCL,Madagascar,MDG,Analamanga,MDG,Antananarivo-Renivohitra,MDG,169305,2625.61,"{0: 55437, 1: 113868}",55437,113868,0,0,0,0
2011,SH132011,BINGIZA,2011-02-08 12:00,2011-02-18 00:00,OFCL,Madagascar,MDG,Analamanga,MDG,Manjakandriana,MDG,158296,71027.83,"{0: 47255, 1: 111041}",47255,111041,0,0,0,0
2011,SH132011,BINGIZA,2011-02-08 12:00,2011-02-18 00:00,OFCL,Madagascar,MDG,Analanjirofo,MDG,Fenoarivo-Atsinanana,MDG,307249,3612073.84,"{1: 42322, 2: 264560, 3: 367}",0,42322,264560,367,0,0
