tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,population,loss,wind_cat,wind_cat_0,wind_cat_1,wind_cat_2,wind_cat_3,wind_cat_4,wind_cat_5
2006,SH092006,BOLOETSE,2006-01-22 12:00,2006-02-06 06:00,OFCL,Madagascar,MDG,Amoron'i Mania,MDG,25223,1.75,{0: 25223},25223,0,0,0,0,0
2006,SH092006,BOLOETSE,2006-01-22 12:00,2006-02-06 06:00,OFCL,Madagascar,MDG,Androy,MDG,315811,29046.3,"{0: 279150, 1: 36063, 2: 598}",279150,36063,598,0,0,0
2006,SH092006,BOLOETSE,2006-01-22 12:00,2006-02-06 06:00,OFCL,Madagascar,MDG,Anosy,MDG,26200,0.42,{0: 26200},26200,0,0,0,0,0
2006,SH092006,BOLOETSE,2006-01-22 12:00,2006-02-06 06:00,OFCL,Madagascar,MDG,Atsimo Andrefana,MDG,1384487,5014471.11,"{0: 472343, 1: 672671, 2: 220213, 3: 19260}",472343,672671,220213,19260,0,0
2006,SH092006,BOLOETSE,2006-01-22 12:00,2006-02-06 06:00,OFCL,Madagascar,MDG,Haute Matsiatra,MDG,546158,226.39,{0: 546158},546158,0,0,0,0,0
2006,SH092006,BOLOETSE,2006-01-22 12:00,2006-02-06 06:00,OFCL,Madagascar,MDG,Ihorombe,MDG,11832,4.62,{0: 11832},11832,0,0,0,0,0
2006,SH092006,BOLOETSE,2006-01-22 12:00,2006-02-06 06:00,OFCL,Madagascar,MDG,Menabe,MDG,213,132.3,{0: 213},213,0,0,0,0,0
2006,SH092006,BOLOETSE,2006-01-22 12:00,2006-02-06 06:00,OFCL,Madagascar,MDG,Vatovavy Fitovinany,MDG,199742,37.53,{0: 199742},199742,0,0,0,0,0
