tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,population,loss,wind_cat,wind_cat_0,wind_cat_1,wind_cat_2,wind_cat_3,wind_cat_4,wind_cat_5
1988,SH181988,NONAME,1988-03-25 00:00,1988-04-01 06:00,OFCL,Madagascar,MDG,Alaotra Mangoro,MDG,359130,38.94,{0: 359130},359130,0,0,0,0,0
1988,SH181988,NONAME,1988-03-25 00:00,1988-04-01 06:00,OFCL,Madagascar,MDG,Analamanga,MDG,4295,0.15,{0: 4295},4295,0,0,0,0,0
1988,SH181988,NONAME,1988-03-25 00:00,1988-04-01 06:00,OFCL,Madagascar,MDG,Analanjirofo,MDG,282205,195.74,{0: 282205},282205,0,0,0,0,0
1988,SH181988,NONAME,1988-03-25 00:00,1988-04-01 06:00,OFCL,Madagascar,MDG,Betsiboka,MDG,12266,1.23,{0: 12266},12266,0,0,0,0,0
1988,SH181988,NONAME,1988-03-25 00:00,1988-04-01 06:00,OFCL,Madagascar,MDG,Sava,MDG,54709,402.8,"{0: 53647, 1: 1062}",53647,1062,0,0,0,0
1988,SH181988,NONAME,1988-03-25 00:00,1988-04-01 06:00,OFCL,Madagascar,MDG,Sofia,MDG,1100,0.82,{0: 1100},1100,0,0,0,0,0
