tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,population,loss,wind_cat,wind_cat_0,wind_cat_1,wind_cat_2,wind_cat_3,wind_cat_4,wind_cat_5
1994,SH201994,NONAME,1994-03-05 00:00,1994-03-17 18:00,OFCL,Madagascar,MDG,Alaotra Mangoro,MDG,1020875,138592402.06,"{0: 12810, 1: 66788, 2: 356744, 3: 541247, 4: 43286}",12810,66788,356744,541247,43286,0
1994,SH201994,NONAME,1994-03-05 00:00,1994-03-17 18:00,OFCL,Madagascar,MDG,Amoron'i Mania,MDG,650472,4104541.79,"{0: 98331, 1: 390344, 2: 161765, 3: 32}",98331,390344,161765,32,0,0
1994,SH201994,NONAME,1994-03-05 00:00,1994-03-17 18:00,OFCL,Madagascar,MDG,Analamanga,MDG,4679099,128928886.73,"{0: 16875, 1: 128704, 2: 3267786, 3: 1265734}",16875,128704,3267786,1265734,0,0
1994,SH201994,NONAME,1994-03-05 00:00,1994-03-17 18:00,OFCL,Madagascar,MDG,Analanjirofo,MDG,1188128,80448021.29,"{0: 243627, 1: 333848, 2: 281752, 3: 322137, 4: 6764}",243627,333848,281752,322137,6764,0
1994,SH201994,NONAME,1994-03-05 00:00,1994-03-17 18:00,OFCL,Madagascar,MDG,Atsimo Atsinanana,MDG,36038,0.41,{0: 36038},36038,0,0,0,0,0
1994,SH201994,NONAME,1994-03-05 00:00,1994-03-17 18:00,OFCL,Madagascar,MDG,Atsinanana,MDG,990662,236253083.53,"{1: 31212, 2: 361221, 3: 510330, 4: 87899}",0,31212,361221,510330,87899,0
1994,SH201994,NONAME,1994-03-05 00:00,1994-03-17 18:00,OFCL,Madagascar,MDG,Betsiboka,MDG,186557,376502.86,"{0: 98102, 1: 70722, 2: 17691, 3: 42}",98102,70722,17691,42,0,0
1994,SH201994,NONAME,1994-03-05 00:00,1994-03-17 18:00,OFCL,Madagascar,MDG,Boeny,MDG,8522,0.06,{0: 8522},8522,0,0,0,0,0
1994,SH201994,NONAME,1994-03-05 00:00,1994-03-17 18:00,OFCL,Madagascar,MDG,Bongolava,MDG,495504,69345.45,"{0: 334257, 1: 158706, 2: 2541}",334257,158706,2541,0,0,0
1994,SH201994,NONAME,1994-03-05 00:00,1994-03-17 18:00,OFCL,Madagascar,MDG,Haute Matsiatra,MDG,913002,107046.79,"{0: 698509, 1: 214493}",698509,214493,0,0,0,0
1994,SH201994,NONAME,1994-03-05 00:00,1994-03-17 18:00,OFCL,Madagascar,MDG,Ihorombe,MDG,153,0.0,{0: 153},153,0,0,0,0,0
