tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,adm2_name,adm2_code,population,loss,wind_cat
2003,SH162003,NONAME,2003-02-07 18:00,2003-02-15 12:00,OFCL,Madagascar,MDG,Antsiranana,MDG.2_1,Sava,MDG.2.2_1,67,262.52,{0: 67}
2003,SH162003,NONAME,2003-02-07 18:00,2003-02-15 12:00,OFCL,Mauritius,MUS,Black River,MUS.2_1,,No Adm2,94560,417084.14,"{0: 781, 1: 93779, 2: 41501}"
2003,SH162003,NONAME,2003-02-07 18:00,2003-02-15 12:00,OFCL,Mauritius,MUS,Flacq,MUS.3_1,,No Adm2,140810,4319806.71,"{0: 781, 1: 93779, 2: 41501}"
2003,SH162003,NONAME,2003-02-07 18:00,2003-02-15 12:00,OFCL,Mauritius,MUS,Grand Port,MUS.4_1,,No Adm2,113523,2898902.73,"{0: 781, 1: 93779, 2: 41501}"
2003,SH162003,NONAME,2003-02-07 18:00,2003-02-15 12:00,OFCL,Mauritius,MUS,Moka,MUS.5_1,,No Adm2,88800,1109196.58,"{0: 781, 1: 93779, 2: 41501}"
2003,SH162003,NONAME,2003-02-07 18:00,2003-02-15 12:00,OFCL,Mauritius,MUS,Pamplemousses,MUS.6_1,,No Adm2,148742,2636797.92,"{0: 781, 1: 93779, 2: 41501}"
2003,SH162003,NONAME,2003-02-07 18:00,2003-02-15 12:00,OFCL,Mauritius,MUS,Plaines Wilhems,MUS.7_1,,No Adm2,365517,1328449.9300000002,"{0: 781, 1: 93779, 2: 41501}"
2003,SH162003,NONAME,2003-02-07 18:00,2003-02-15 12:00,OFCL,Mauritius,MUS,Port Louis,MUS.8_1,,No Adm2,111040,645309.89,"{0: 781, 1: 93779, 2: 41501}"
2003,SH162003,NONAME,2003-02-07 18:00,2003-02-15 12:00,OFCL,Mauritius,MUS,Rivière du Rempart,MUS.9_1,,No Adm2,113200,7609375.22,"{0: 781, 1: 93779, 2: 41501}"
2003,SH162003,NONAME,2003-02-07 18:00,2003-02-15 12:00,OFCL,Mauritius,MUS,Rodriguez,MUS.10_1,,No Adm2,337,42722.06,"{0: 781, 1: 93779, 2: 41501}"
2003,SH162003,NONAME,2003-02-07 18:00,2003-02-15 12:00,OFCL,Mauritius,MUS,Savanne,MUS.12_1,,No Adm2,70087,245677.11,"{0: 781, 1: 93779, 2: 41501}"
