tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,population,loss,wind_cat
2023,SH112023,FREDDY,2023-02-14 12:00,2023-03-13 18:00,OFCL,Madagascar,MDG,10156180,248403141.26000002,"{0: 3057943, 1: 3453935, 2: 1681593, 3: 1763048, 4: 199661}"
2023,SH112023,FREDDY,2023-02-14 12:00,2023-03-13 18:00,OFCL,Mauritius,MUS,1246218,1877405.08,"{0: 139175, 1: 1107043}"
2023,SH112023,FREDDY,2023-02-14 12:00,2023-03-13 18:00,OFCL,Mozambique,MOZ,11194960,401811465.57,"{0: 4462166, 1: 3720931, 2: 1362183, 3: 761322, 4: 888358}"
2023,SH112023,FREDDY,2023-02-14 12:00,2023-03-13 18:00,OFCL,Reunion,REU,499207,247282.58,"{0: 343357, 1: 155850}"
