tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,population,loss,wind_cat
2019,SH182019,IDAI,2019-03-05 00:00,2019-03-16 06:00,OFCL,Madagascar,MDG,Antananarivo,MDG.1_1,181079,43105.34,"{0: 99853, 1: 81226}"
2019,SH182019,IDAI,2019-03-05 00:00,2019-03-16 06:00,OFCL,Madagascar,MDG,Fianarantsoa,MDG.3_1,4711,12.91,{0: 4711}
2019,SH182019,IDAI,2019-03-05 00:00,2019-03-16 06:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,665519,5058919.24,"{0: 152041, 1: 289708, 2: 195173, 3: 28562, 4: 35}"
2019,SH182019,IDAI,2019-03-05 00:00,2019-03-16 06:00,OFCL,Madagascar,MDG,Toliary,MDG.6_1,637679,68701.79,"{0: 562584, 1: 75095}"
2019,SH182019,IDAI,2019-03-05 00:00,2019-03-16 06:00,OFCL,Mozambique,MOZ,Gaza,MOZ.2_1,7567,46.12,{0: 7567}
2019,SH182019,IDAI,2019-03-05 00:00,2019-03-16 06:00,OFCL,Mozambique,MOZ,Inhambane,MOZ.3_1,456423,619410.9,"{0: 257053, 1: 186181, 2: 13189}"
2019,SH182019,IDAI,2019-03-05 00:00,2019-03-16 06:00,OFCL,Mozambique,MOZ,Manica,MOZ.4_1,2120765,150287363.23,"{0: 221016, 1: 439858, 2: 343517, 3: 1067429, 4: 48945}"
2019,SH182019,IDAI,2019-03-05 00:00,2019-03-16 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,3164714,461577.06,"{0: 2882466, 1: 282248}"
2019,SH182019,IDAI,2019-03-05 00:00,2019-03-16 06:00,OFCL,Mozambique,MOZ,Nassa,MOZ.8_1,832439,224125.35,"{0: 415329, 1: 417110}"
2019,SH182019,IDAI,2019-03-05 00:00,2019-03-16 06:00,OFCL,Mozambique,MOZ,Sofala,MOZ.9_1,2110889,466927198.56000006,"{0: 224482, 1: 273218, 2: 277997, 3: 449296, 4: 821787, 5: 64109}"
2019,SH182019,IDAI,2019-03-05 00:00,2019-03-16 06:00,OFCL,Mozambique,MOZ,Tete,MOZ.10_1,101492,103.89000000000001,{0: 101492}
2019,SH182019,IDAI,2019-03-05 00:00,2019-03-16 06:00,OFCL,Mozambique,MOZ,Zambezia,MOZ.11_1,4749358,945255.0499999999,"{0: 4004352, 1: 705608, 2: 39398}"
