tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,population,loss,wind_cat
2018,SH142018,ELIAKIM,2018-03-13 18:00,2018-03-21 06:00,OFCL,Madagascar,MDG,Antananarivo,MDG.1_1,7916141,27205818.72,"{0: 386009, 1: 3874764, 2: 3655368}"
2018,SH142018,ELIAKIM,2018-03-13 18:00,2018-03-21 06:00,OFCL,Madagascar,MDG,Antsiranana,MDG.2_1,2062425,6311062.35,"{0: 260023, 1: 1363284, 2: 433514, 3: 5604}"
2018,SH142018,ELIAKIM,2018-03-13 18:00,2018-03-21 06:00,OFCL,Madagascar,MDG,Fianarantsoa,MDG.3_1,5655742,5723624.82,"{0: 912491, 1: 4649735, 2: 93516}"
2018,SH142018,ELIAKIM,2018-03-13 18:00,2018-03-21 06:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,3131842,21873482.259999998,"{0: 162274, 1: 1938920, 2: 856175, 3: 174473}"
2018,SH142018,ELIAKIM,2018-03-13 18:00,2018-03-21 06:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,3676313,55362473.98,"{0: 555, 1: 1191161, 2: 2102075, 3: 382522}"
2018,SH142018,ELIAKIM,2018-03-13 18:00,2018-03-21 06:00,OFCL,Madagascar,MDG,Toliary,MDG.6_1,841729,47493.58,"{0: 785076, 1: 56653}"
2018,SH142018,ELIAKIM,2018-03-13 18:00,2018-03-21 06:00,OFCL,Reunion,REU,Saint-Benoît,REU.1_1,86,20.02,{0: 86}
2018,SH142018,ELIAKIM,2018-03-13 18:00,2018-03-21 06:00,OFCL,Reunion,REU,Saint-Denis,REU.2_1,7128,3811843.52,{0: 7128}
2018,SH142018,ELIAKIM,2018-03-13 18:00,2018-03-21 06:00,OFCL,Reunion,REU,Saint-Paul,REU.3_1,16595,7643210.17,{0: 16595}
2018,SH142018,ELIAKIM,2018-03-13 18:00,2018-03-21 06:00,OFCL,Reunion,REU,Saint-Pierre,REU.4_1,6971,2274029.76,{0: 6971}
