tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,population,loss,wind_cat
1994,SH201994,NONAME,1994-03-05 00:00,1994-03-17 18:00,OFCL,Madagascar,MDG,16764740,855658829.73,"{0: 3100479, 1: 3261680, 2: 2610726, 3: 6685021, 4: 1074031, 5: 32803}"
1994,SH201994,NONAME,1994-03-05 00:00,1994-03-17 18:00,OFCL,Mauritius,MUS,507131,9552807.41,"{0: 462730, 1: 44401}"
1994,SH201994,NONAME,1994-03-05 00:00,1994-03-17 18:00,OFCL,Reunion,REU,92541,5666282.8,"{0: 91985, 1: 556}"
