tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,population,loss,wind_cat
1994,SH031994,NONAME,1993-12-11 00:00,1993-12-21 12:00,OFCL,Mauritius,MUS,Rodriguez,MUS.10_1,26,785.07,{0: 26}
1994,SH031994,NONAME,1993-12-11 00:00,1993-12-21 12:00,OFCL,Mauritius,MUS,Black River,MUS.2_1,239,0.57,{0: 239}
1994,SH031994,NONAME,1993-12-11 00:00,1993-12-21 12:00,OFCL,Mauritius,MUS,Flacq,MUS.3_1,53654,653.46,{0: 53654}
1994,SH031994,NONAME,1993-12-11 00:00,1993-12-21 12:00,OFCL,Mauritius,MUS,Grand Port,MUS.4_1,17819,130232.24,{0: 17819}
1994,SH031994,NONAME,1993-12-11 00:00,1993-12-21 12:00,OFCL,Mauritius,MUS,Moka,MUS.5_1,25777,32.46,{0: 25777}
1994,SH031994,NONAME,1993-12-11 00:00,1993-12-21 12:00,OFCL,Mauritius,MUS,Pamplemousses,MUS.6_1,30954,71.59,{0: 30954}
1994,SH031994,NONAME,1993-12-11 00:00,1993-12-21 12:00,OFCL,Mauritius,MUS,Plaines Wilhems,MUS.7_1,11819,5.18,{0: 11819}
1994,SH031994,NONAME,1993-12-11 00:00,1993-12-21 12:00,OFCL,Mauritius,MUS,Port Louis,MUS.8_1,8,0.03,{0: 8}
1994,SH031994,NONAME,1993-12-11 00:00,1993-12-21 12:00,OFCL,Mauritius,MUS,Rivière du Rempart,MUS.9_1,56967,4973.04,{0: 56967}
1994,SH031994,NONAME,1993-12-11 00:00,1993-12-21 12:00,OFCL,Reunion,REU,Saint-Benoît,REU.1_1,33740,1464.39,"{0: 33663, 1: 77}"
1994,SH031994,NONAME,1993-12-11 00:00,1993-12-21 12:00,OFCL,Reunion,REU,Saint-Denis,REU.2_1,31084,2168.16,{0: 31084}
1994,SH031994,NONAME,1993-12-11 00:00,1993-12-21 12:00,OFCL,Reunion,REU,Saint-Paul,REU.3_1,2677,827.56,"{0: 2513, 1: 164}"
1994,SH031994,NONAME,1993-12-11 00:00,1993-12-21 12:00,OFCL,Reunion,REU,Saint-Pierre,REU.4_1,3672,660.47,"{0: 3633, 1: 39}"
1995,SH021995,NONAME,1994-11-21 06:00,1994-12-02 06:00,OFCL,Mauritius,MUS,Rodriguez,MUS.10_1,44652,9220187.66,"{2: 32921, 3: 11731}"
2000,SH032000,NONAME,1999-12-23 12:00,2000-01-03 00:00,OFCL,Madagascar,MDG,Antsiranana,MDG.2_1,2102096,4402713.43,"{0: 313455, 1: 1596124, 2: 192517}"
2000,SH032000,NONAME,1999-12-23 12:00,2000-01-03 00:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,581085,184756.12,"{0: 413003, 1: 168067, 2: 15}"
2000,SH032000,NONAME,1999-12-23 12:00,2000-01-03 00:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,99183,6452.04,"{0: 99172, 1: 11}"
2000,SH032000,NONAME,1999-12-23 12:00,2000-01-03 00:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,75733,185.4,{0: 75733}
2001,SH042001,NONAME,2000-12-31 06:00,2001-01-10 06:00,OFCL,Mauritius,MUS,Black River,MUS.2_1,1779,36720.07,{0: 1779}
2001,SH042001,NONAME,2000-12-31 06:00,2001-01-10 06:00,OFCL,Mauritius,MUS,Port Louis,MUS.8_1,21,446.47,{0: 21}
2001,SH042001,NONAME,2000-12-31 06:00,2001-01-10 06:00,OFCL,Reunion,REU,Saint-Benoît,REU.1_1,140447,2287116.47,"{0: 626, 1: 139821}"
2001,SH042001,NONAME,2000-12-31 06:00,2001-01-10 06:00,OFCL,Reunion,REU,Saint-Denis,REU.2_1,308269,10221995.87,"{1: 305192, 2: 3077}"
2001,SH042001,NONAME,2000-12-31 06:00,2001-01-10 06:00,OFCL,Reunion,REU,Saint-Paul,REU.3_1,201260,2775978.91,"{0: 2186, 1: 198663, 2: 411}"
2001,SH042001,NONAME,2000-12-31 06:00,2001-01-10 06:00,OFCL,Reunion,REU,Saint-Pierre,REU.4_1,302803,659359.82,"{0: 114474, 1: 188329}"
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Belombre,SYC.10_1,3615,62.84,{0: 3615}
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Cascade,SYC.11_1,3077,95.1,{0: 3077}
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Glacis,SYC.13_1,1690,129.33,{0: 1690}
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Grand' Anse,SYC.14_1,3823,1075.44,{0: 3823}
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Grand'Anse Praslin,SYC.15_1,4382,1345.1,{0: 4382}
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,La Digue and Inner Islands,SYC.16_1,4165,1347.37,{0: 4165}
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Les Mamelles,SYC.17_1,812,1.46,{0: 812}
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Mont Fleuri,SYC.19_1,1060,253.12,{0: 1060}
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Anse aux Pins,SYC.1_1,3957,37274.55,{0: 3957}
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Outer Islands,SYC.20_1,28,28.25,{0: 28}
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Plaisance,SYC.21_1,1887,209.56,{0: 1887}
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Pointe La Rue,SYC.22_1,4074,3356.54,{0: 4074}
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Port Glaud,SYC.23_1,3053,3066.77,{0: 3053}
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Takamaka,SYC.26_1,3083,3898.53,"{0: 3074, 1: 9}"
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Anse Boileau,SYC.2_1,3446,90.82,{0: 3446}
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Anse Étoile,SYC.3_1,1717,146.35,{0: 1717}
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Anse Royale,SYC.4_1,4457,1995.87,{0: 4457}
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Au Cap,SYC.5_1,5986,6822.33,{0: 5986}
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Baie Lazare,SYC.6_1,4376,5414.11,{0: 4376}
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Baie Sainte Anne,SYC.7_1,6583,1279.8,{0: 6583}
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Beau Vallon,SYC.8_1,300,0.23,{0: 300}
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,Bel Air,SYC.9_1,651,237.05,{0: 651}
2003,SH022003,NONAME,2002-11-03 06:00,2002-11-13 00:00,OFCL,Comoros,COM,Mwali,COM.1_1,67648,134009.41,"{0: 12505, 1: 55143}"
2003,SH022003,NONAME,2002-11-03 06:00,2002-11-13 00:00,OFCL,Comoros,COM,Njazídja,COM.2_1,456208,435586.57,"{0: 199158, 1: 257050}"
