tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,population,loss,wind_cat
2020,SH052020,CALVINIA,2019-12-17 12:00,2020-01-03 18:00,OFCL,Mauritius,MUS,1246279,36159349.6,"{1: 419867, 2: 826412}"
2020,SH052020,CALVINIA,2019-12-17 12:00,2020-01-03 18:00,OFCL,Reunion,REU,1089,42309.020000000004,{0: 1089}
