tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,population,loss,wind_cat
1996,SH261996,NONAME,1996-04-06 12:00,1996-04-18 12:00,OFCL,Mauritius,MUS,110402,2373174.42,{0: 110402}
1996,SH261996,NONAME,1996-04-06 12:00,1996-04-18 12:00,OFCL,Reunion,REU,2846,918647.13,{0: 2846}
