tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,population,loss,wind_cat,wind_cat_0,wind_cat_1,wind_cat_2,wind_cat_3,wind_cat_4,wind_cat_5
1983,SH081983,NONAME,1983-01-10 00:00,1983-01-16 12:00,OFCL,Mayotte,MYT,271,0.93,{0: 271},271,0,0,0,0,0
1984,SH071984,NONAME,1983-12-05 18:00,1983-12-16 06:00,OFCL,Comoros,COM,169837,203438.66,"{0: 105843, 1: 63994}",105843,63994,0,0,0,0
1984,SH071984,NONAME,1983-12-05 18:00,1983-12-16 06:00,OFCL,Madagascar,MDG,16457096,258893214.09,"{0: 6478657, 1: 6956567, 2: 1601754, 3: 807445, 4: 610878, 5: 1795}",6478657,6956567,1601754,807445,610878,1795
1984,SH071984,NONAME,1983-12-05 18:00,1983-12-16 06:00,OFCL,Mauritius,MUS,262,526911.24,{4: 262},0,0,0,0,262,0
1984,SH071984,NONAME,1983-12-05 18:00,1983-12-16 06:00,OFCL,Mayotte,MYT,270400,25512931.08,"{1: 87158, 2: 183242}",0,87158,183242,0,0,0
1984,SH071984,NONAME,1983-12-05 18:00,1983-12-16 06:00,OFCL,Seychelles,SYC,116,236545.16,"{0: 26, 1: 3, 2: 52, 4: 35}",26,3,52,0,35,0
1984,SH091984,NONAME,1983-12-19 00:00,1983-12-27 12:00,OFCL,Mauritius,MUS,1246279,693944833.23,"{2: 45, 3: 1246234}",0,0,45,1246234,0,0
1984,SH091984,NONAME,1983-12-19 00:00,1983-12-27 12:00,OFCL,Reunion,REU,963140,12733877.74,"{0: 74604, 1: 886135, 2: 2401}",74604,886135,2401,0,0,0
1984,SH141984,NONAME,1984-01-19 00:00,1984-01-29 12:00,OFCL,Madagascar,MDG,9799222,2607610.06,"{0: 7034384, 1: 2764838}",7034384,2764838,0,0,0,0
1984,SH141984,NONAME,1984-01-19 00:00,1984-01-29 12:00,OFCL,Mozambique,MOZ,6294609,27811880.09,"{0: 562098, 1: 4387054, 2: 1325799, 3: 19658}",562098,4387054,1325799,19658,0,0
1984,SH221984,NONAME,1984-02-12 06:00,1984-02-15 06:00,OFCL,Madagascar,MDG,15606,27.79,{0: 15606},15606,0,0,0,0,0
1984,SH231984,NONAME,1984-02-12 12:00,1984-02-15 00:00,OFCL,Madagascar,MDG,8649,3.8,{0: 8649},8649,0,0,0,0,0
1985,SH101985,NONAME,1985-01-10 06:00,1985-01-21 18:00,OFCL,Mauritius,MUS,8143,503336.21,{0: 8143},8143,0,0,0,0,0
1985,SH101985,NONAME,1985-01-10 06:00,1985-01-21 18:00,OFCL,Reunion,REU,963140,56990536.75,"{1: 612033, 2: 351107}",0,612033,351107,0,0,0
1985,SH161985,NONAME,1985-01-26 00:00,1985-02-01 00:00,OFCL,Mauritius,MUS,44652,9208537.11,"{2: 31222, 3: 13430}",0,0,31222,13430,0,0
1985,SH191985,NONAME,1985-02-05 06:00,1985-02-11 06:00,OFCL,Madagascar,MDG,10441250,4539591.58,"{0: 3345649, 1: 7089615, 2: 5986}",3345649,7089615,5986,0,0,0
1985,SH211985,NONAME,1985-02-13 00:00,1985-02-26 00:00,OFCL,Madagascar,MDG,5158679,384745.13,"{0: 4596986, 1: 561693}",4596986,561693,0,0,0,0
1985,SH211985,NONAME,1985-02-13 00:00,1985-02-26 00:00,OFCL,Reunion,REU,94,7835.49,{0: 94},94,0,0,0,0,0
1985,SH231985,NONAME,1985-02-13 12:00,1985-02-19 00:00,OFCL,Comoros,COM,876321,1975084.69,"{0: 462839, 1: 377547, 2: 35935}",462839,377547,35935,0,0,0
1985,SH231985,NONAME,1985-02-13 12:00,1985-02-19 00:00,OFCL,Madagascar,MDG,2307581,388578.36,"{0: 1326450, 1: 981131}",1326450,981131,0,0,0,0
1985,SH231985,NONAME,1985-02-13 12:00,1985-02-19 00:00,OFCL,Mayotte,MYT,270400,4216080.05,{1: 270400},0,270400,0,0,0,0
1986,SH041986,NONAME,1986-01-06 12:00,1986-01-10 00:00,OFCL,Mozambique,MOZ,3931417,1767917.22,"{0: 2562921, 1: 1355364, 2: 13132}",2562921,1355364,13132,0,0,0
1986,SH061986,NONAME,1986-01-07 06:00,1986-01-15 18:00,OFCL,Mauritius,MUS,44914,1385971.35,"{1: 26403, 2: 18511}",0,26403,18511,0,0,0
1986,SH131986,NONAME,1986-01-30 00:00,1986-02-11 00:00,OFCL,Reunion,REU,963140,19169947.95,"{0: 29829, 1: 916692, 2: 16619}",29829,916692,16619,0,0,0
1986,SH251986,NONAME,1986-03-07 12:00,1986-03-20 00:00,OFCL,Madagascar,MDG,15801886,512922568.42,"{0: 3155257, 1: 2951979, 2: 2808715, 3: 6549479, 4: 336456}",3155257,2951979,2808715,6549479,336456,0
1987,SH171987,NONAME,1987-02-10 12:00,1987-02-16 00:00,OFCL,Mauritius,MUS,671031,586366.34,"{0: 635261, 1: 35770}",635261,35770,0,0,0,0
1987,SH171987,NONAME,1987-02-10 12:00,1987-02-16 00:00,OFCL,Reunion,REU,963140,18926006.33,"{0: 2711, 1: 954953, 2: 5476}",2711,954953,5476,0,0,0
1987,SH241987,NONAME,1987-04-22 06:00,1987-04-26 18:00,OFCL,Madagascar,MDG,28190,44.54,{0: 28190},28190,0,0,0,0,0
1988,SH021988,NONAME,1987-11-20 18:00,1987-11-26 06:00,OFCL,Comoros,COM,209241,5153.09,{0: 209241},209241,0,0,0,0,0
1988,SH021988,NONAME,1987-11-20 18:00,1987-11-26 06:00,OFCL,Mozambique,MOZ,2033165,305577.94,"{0: 1355456, 1: 677709}",1355456,677709,0,0,0,0
1988,SH021988,NONAME,1987-11-20 18:00,1987-11-26 06:00,OFCL,Tanzania,TZA,3754,0.58,{0: 3754},3754,0,0,0,0,0
1988,SH051988,NONAME,1987-12-24 06:00,1988-01-01 12:00,OFCL,Madagascar,MDG,57553,23893.03,{0: 57553},57553,0,0,0,0,0
1988,SH081988,NONAME,1988-01-11 18:00,1988-01-18 18:00,OFCL,Madagascar,MDG,12174452,22405117.89,"{0: 7208289, 1: 3879439, 2: 1007870, 3: 78854}",7208289,3879439,1007870,78854,0,0
1988,SH091988,NONAME,1988-01-21 00:00,1988-02-01 12:00,OFCL,Madagascar,MDG,5295630,5306497.29,"{0: 3002611, 1: 2075781, 2: 217238}",3002611,2075781,217238,0,0,0
1988,SH091988,NONAME,1988-01-21 00:00,1988-02-01 12:00,OFCL,Mozambique,MOZ,515558,22842.57,{0: 515558},515558,0,0,0,0,0
1988,SH141988,NONAME,1988-02-24 06:00,1988-03-02 06:00,OFCL,Madagascar,MDG,1516126,60034.51,"{0: 1459462, 1: 56664}",1459462,56664,0,0,0,0
1988,SH141988,NONAME,1988-02-24 06:00,1988-03-02 06:00,OFCL,Mozambique,MOZ,10923839,161958766.9,"{0: 4696326, 1: 3686001, 2: 1287584, 3: 1207614, 4: 46314}",4696326,3686001,1287584,1207614,46314,0
1988,SH161988,NONAME,1988-03-12 00:00,1988-03-24 00:00,OFCL,Mauritius,MUS,4599,5555.94,{0: 4599},4599,0,0,0,0,0
1988,SH171988,NONAME,1988-03-17 00:00,1988-03-20 18:00,OFCL,Madagascar,MDG,15202,8.44,{0: 15202},15202,0,0,0,0,0
1988,SH171988,NONAME,1988-03-17 00:00,1988-03-20 18:00,OFCL,Seychelles,SYC,43,234.36,"{0: 35, 1: 8}",35,8,0,0,0,0
1988,SH181988,NONAME,1988-03-25 00:00,1988-04-01 06:00,OFCL,Madagascar,MDG,2417503,276155.28,"{0: 2225267, 1: 192236}",2225267,192236,0,0,0,0
1989,SH061989,NONAME,1989-01-06 06:00,1989-01-15 06:00,OFCL,Madagascar,MDG,13768935,138837918.58,"{0: 3321490, 1: 7760933, 2: 1501456, 3: 1184843, 4: 213}",3321490,7760933,1501456,1184843,213,0
1989,SH061989,NONAME,1989-01-06 06:00,1989-01-15 06:00,OFCL,Mozambique,MOZ,5593668,2213041.71,"{0: 2763861, 1: 2829807}",2763861,2829807,0,0,0,0
1989,SH081989,NONAME,1989-01-24 06:00,1989-02-01 06:00,OFCL,Mauritius,MUS,1252076,1260266316.97,"{0: 5797, 3: 1245713, 4: 566}",5797,0,0,1245713,566,0
1989,SH081989,NONAME,1989-01-24 06:00,1989-02-01 06:00,OFCL,Reunion,REU,963140,2606954410.34,"{3: 939123, 4: 23987, 5: 30}",0,0,0,939123,23987,30
1989,SH181989,NONAME,1989-03-07 12:00,1989-03-11 12:00,OFCL,Madagascar,MDG,1241546,74583.0,"{0: 1145438, 1: 96108}",1145438,96108,0,0,0,0
1989,SH191989,NONAME,1989-03-21 06:00,1989-03-31 06:00,OFCL,Madagascar,MDG,15858186,49308494.57,"{0: 3845371, 1: 9338837, 2: 2511544, 3: 162434}",3845371,9338837,2511544,162434,0,0
1989,SH211989,NONAME,1989-03-26 12:00,1989-04-09 00:00,OFCL,Mauritius,MUS,1096183,6599596.08,"{0: 605888, 1: 445643, 2: 44652}",605888,445643,44652,0,0,0
1989,SH211989,NONAME,1989-03-26 12:00,1989-04-09 00:00,OFCL,Reunion,REU,30133,1487.3,"{0: 30125, 1: 8}",30125,8,0,0,0,0
1990,SH081990,NONAME,1989-12-14 18:00,1990-01-05 18:00,OFCL,Madagascar,MDG,19352463,180653416.21,"{0: 3970834, 1: 9419990, 2: 3936161, 3: 2025478}",3970834,9419990,3936161,2025478,0,0
1990,SH081990,NONAME,1989-12-14 18:00,1990-01-05 18:00,OFCL,Mauritius,MUS,262,148280.76,{3: 262},0,0,0,262,0,0
1990,SH181990,NONAME,1990-02-26 18:00,1990-03-08 06:00,OFCL,Mauritius,MUS,44826,427880.49,"{0: 174, 1: 44652}",174,44652,0,0,0,0
1991,SH081991,NONAME,1991-01-13 00:00,1991-02-04 18:00,OFCL,Mauritius,MUS,47225,147309491.2,"{0: 2573, 4: 44652}",2573,0,0,0,44652,0
1991,SH101991,NONAME,1991-02-16 00:00,1991-02-18 06:00,OFCL,Madagascar,MDG,8410601,13359356.62,"{0: 3917488, 1: 3682101, 2: 811012}",3917488,3682101,811012,0,0,0
1991,SH101991,NONAME,1991-02-16 00:00,1991-02-18 06:00,OFCL,Mozambique,MOZ,129262,201.07,{0: 129262},129262,0,0,0,0,0
1992,SH021992,NONAME,1991-10-11 12:00,1991-10-21 06:00,OFCL,Madagascar,MDG,145133,964.67,{0: 145133},145133,0,0,0,0,0
1992,SH101992,NONAME,1991-12-30 18:00,1992-01-02 18:00,OFCL,Madagascar,MDG,1746169,329589.34,"{0: 1382080, 1: 364089}",1382080,364089,0,0,0,0
1993,SH041993,NONAME,1992-11-26 00:00,1992-12-11 00:00,OFCL,Seychelles,SYC,111,93.5,{0: 111},111,0,0,0,0,0
