tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,population,loss,wind_cat
2013,SH132013,FELLENG,2013-01-25 12:00,2013-02-04 12:00,OFCL,Madagascar,MDG,Antananarivo,MDG.1_1,1615785,31547.31,"{0: 1612145, 1: 3640}"
2013,SH132013,FELLENG,2013-01-25 12:00,2013-02-04 12:00,OFCL,Madagascar,MDG,Antsiranana,MDG.2_1,28720,3298.43,{0: 28720}
2013,SH132013,FELLENG,2013-01-25 12:00,2013-02-04 12:00,OFCL,Madagascar,MDG,Fianarantsoa,MDG.3_1,297402,2363.72,"{0: 297047, 1: 355}"
2013,SH132013,FELLENG,2013-01-25 12:00,2013-02-04 12:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,843,0.78,{0: 843}
2013,SH132013,FELLENG,2013-01-25 12:00,2013-02-04 12:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,2119876,363295.66000000003,"{0: 1838748, 1: 281128}"
