tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,adm2_name,adm2_code,population,loss,wind_cat
2020,SH102020,DIANE,2020-01-22 12:00,2020-01-29 18:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,Betsiboka,MDG.4.1_1,748,0.62,{0: 748}
2020,SH102020,DIANE,2020-01-22 12:00,2020-01-29 18:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,Alaotra-Mangoro,MDG.5.1_1,313728,4924.46,{0: 313728}
2020,SH102020,DIANE,2020-01-22 12:00,2020-01-29 18:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,Analanjirofo,MDG.5.2_1,16209,12.63,{0: 16209}
2020,SH102020,DIANE,2020-01-22 12:00,2020-01-29 18:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,Atsinanana,MDG.5.3_1,12872,5.45,{0: 12872}
2020,SH102020,DIANE,2020-01-22 12:00,2020-01-29 18:00,OFCL,Mauritius,MUS,Black River,MUS.2_1,,No Adm2,17835,85.34,"{0: 17835, 1: 2519}"
2020,SH102020,DIANE,2020-01-22 12:00,2020-01-29 18:00,OFCL,Mauritius,MUS,Flacq,MUS.3_1,,No Adm2,90712,16468.41,"{0: 17835, 1: 2519}"
2020,SH102020,DIANE,2020-01-22 12:00,2020-01-29 18:00,OFCL,Mauritius,MUS,Grand Port,MUS.4_1,,No Adm2,50463,4751.1,"{0: 17835, 1: 2519}"
2020,SH102020,DIANE,2020-01-22 12:00,2020-01-29 18:00,OFCL,Mauritius,MUS,Moka,MUS.5_1,,No Adm2,41823,3535.24,"{0: 17835, 1: 2519}"
2020,SH102020,DIANE,2020-01-22 12:00,2020-01-29 18:00,OFCL,Mauritius,MUS,Pamplemousses,MUS.6_1,,No Adm2,63764,9553.89,"{0: 17835, 1: 2519}"
2020,SH102020,DIANE,2020-01-22 12:00,2020-01-29 18:00,OFCL,Mauritius,MUS,Plaines Wilhems,MUS.7_1,,No Adm2,38111,403.24,"{0: 17835, 1: 2519}"
2020,SH102020,DIANE,2020-01-22 12:00,2020-01-29 18:00,OFCL,Mauritius,MUS,Port Louis,MUS.8_1,,No Adm2,10769,151.75,"{0: 17835, 1: 2519}"
2020,SH102020,DIANE,2020-01-22 12:00,2020-01-29 18:00,OFCL,Mauritius,MUS,Rivière du Rempart,MUS.9_1,,No Adm2,90606,17243.86,"{0: 17835, 1: 2519}"
2020,SH102020,DIANE,2020-01-22 12:00,2020-01-29 18:00,OFCL,Mauritius,MUS,Rodriguez,MUS.10_1,,No Adm2,5912,2.49,"{0: 17835, 1: 2519}"
2020,SH102020,DIANE,2020-01-22 12:00,2020-01-29 18:00,OFCL,Mauritius,MUS,Savanne,MUS.12_1,,No Adm2,16339,16.41,"{0: 17835, 1: 2519}"
