tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,population,loss,wind_cat
1988,SH091988,NONAME,1988-01-21 00:00,1988-02-01 12:00,OFCL,Madagascar,MDG,Antananarivo,MDG.1_1,197191,2027.0700000000002,"{0: 197172, 1: 19}"
1988,SH091988,NONAME,1988-01-21 00:00,1988-02-01 12:00,OFCL,Madagascar,MDG,Antsiranana,MDG.2_1,1546037,2216472.26,"{0: 562335, 1: 887719, 2: 95983}"
1988,SH091988,NONAME,1988-01-21 00:00,1988-02-01 12:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,2244851,1724620.7799999998,"{0: 1283674, 1: 881155, 2: 80022}"
1988,SH091988,NONAME,1988-01-21 00:00,1988-02-01 12:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,774952,1356916.02,"{0: 428027, 1: 305692, 2: 41233}"
1988,SH091988,NONAME,1988-01-21 00:00,1988-02-01 12:00,OFCL,Madagascar,MDG,Toliary,MDG.6_1,532599,6461.16,"{0: 531403, 1: 1196}"
1988,SH091988,NONAME,1988-01-21 00:00,1988-02-01 12:00,OFCL,Mozambique,MOZ,Inhambane,MOZ.3_1,515558,22842.57,{0: 515558}
