atcf_id,dtg,tech,adm0_name,adm0_code,adm1_name,adm1_code,population,loss,wind_cat
SH242022,2022-05-01 06:00,OFCL,Comoros,COM,Mwali,COM.1_1,9071,2.4017483702566738,{0: 9071}
SH242022,2022-05-01 06:00,OFCL,Comoros,COM,Njazídja,COM.2_1,36,4.821867942797008e-05,{0: 36}
SH242022,2022-05-01 06:00,OFCL,Comoros,COM,Nzwani,COM.3_1,50625,74.64517259860106,{0: 50625}
SH242022,2022-05-01 06:00,OFCL,Madagascar,MDG,Fianarantsoa,MDG.3_1,3474883,244960.30079361604,"{0: 3221027, 1: 253856}"
SH242022,2022-05-01 06:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,30159,72.59123476940742,{0: 30159}
SH242022,2022-05-01 06:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,102,1.3647770515197355,{0: 102}
SH242022,2022-05-01 06:00,OFCL,Madagascar,MDG,Toliary,MDG.6_1,2044359,8548563.875888374,"{0: 479363, 1: 853565, 2: 711431}"
SH242022,2022-05-01 06:00,OFCL,Mozambique,MOZ,Cabo Delgado,MOZ.1_1,776591,4723.837999831403,{0: 776591}
SH242022,2022-05-01 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,5744905,710844.1730485428,"{0: 4664551, 1: 1080354}"
SH242022,2022-05-01 06:00,OFCL,Mozambique,MOZ,Nassa,MOZ.8_1,3492,0.22897167496756543,{0: 3492}
SH242022,2022-05-01 06:00,OFCL,Mozambique,MOZ,Zambezia,MOZ.11_1,1297520,24235.37057589818,"{0: 1288852, 1: 8668}"
SH242022,2022-05-01 06:00,OFCL,Reunion,REU,Saint-Benoît,REU.1_1,53,0.4606618019760818,{0: 53}
SH242022,2022-05-01 06:00,OFCL,Reunion,REU,Saint-Paul,REU.3_1,233,3.434571351543974,{0: 233}
SH242022,2022-05-01 06:00,OFCL,Reunion,REU,Saint-Pierre,REU.4_1,177,0.12222185990209149,{0: 177}
