atcf_id,dtg,tech,adm0_name,adm0_code,adm1_name,adm1_code,adm2_name,adm2_code,population,loss,wind_cat
SH122022,2022-02-16 00:00,OFCL,Madagascar,MDG,Antananarivo,MDG.1_1,Analamanga,MDG.1.1_1,41613,437.03129619061326,{0: 41613}
SH122022,2022-02-16 00:00,OFCL,Madagascar,MDG,Antsiranana,MDG.2_1,Sava,MDG.2.2_1,4293,21.453110650496345,{0: 4293}
SH122022,2022-02-16 00:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,Betsiboka,MDG.4.1_1,72586,9784.69988784879,"{0: 60436, 1: 12150}"
SH122022,2022-02-16 00:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,Sofia,MDG.4.4_1,104197,12691.142117183561,"{0: 81593, 1: 22604}"
SH122022,2022-02-16 00:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,Alaotra-Mangoro,MDG.5.1_1,826713,1313556.6943660274,"{0: 199203, 1: 609218, 2: 18292}"
SH122022,2022-02-16 00:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,Analanjirofo,MDG.5.2_1,948820,2720965.9290973963,"{0: 161836, 1: 650684, 2: 136300}"
SH122022,2022-02-16 00:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,Atsinanana,MDG.5.3_1,639136,362625.30514321383,"{0: 150858, 1: 474151, 2: 14127}"
