atcf_id,dtg,tech,adm0_name,adm0_code,population,loss,wind_cat
SH072022,2022-01-25 06:00,OFCL,Madagascar,MDG,11131286,2786517.996096247,"{0: 4309222, 1: 6822064}"
SH072022,2022-01-25 06:00,OFCL,Mozambique,MOZ,8861636,14827570.583785485,"{0: 3570449, 1: 4544786, 2: 746401}"
