atcf_id,dtg,tech,adm0_name,adm0_code,population,loss,wind_cat
SH132022,2022-02-25 00:00,OFCL,Madagascar,MDG,10424088,103434755.04790531,"{0: 4485915, 1: 2948496, 2: 1611520, 3: 1378157}"
SH132022,2022-02-25 00:00,OFCL,Mauritius,MUS,1245631,1558378.8816939292,"{0: 67206, 1: 1178425}"
SH132022,2022-02-25 00:00,OFCL,Reunion,REU,649030,12582785.400546677,"{0: 268080, 1: 380950}"
