atcf_id,dtg,tech,adm0_name,adm0_code,population,loss,wind_cat
SH192022,2022-03-12 06:00,OFCL,Madagascar,MDG,1426745,159620.80041594722,"{0: 1215555, 1: 211098, 2: 92}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,7931116,399244758.8267047,"{0: 1628637, 1: 1856151, 2: 1548262, 3: 2465357, 4: 419339, 5: 13370}"
