atcf_id,dtg,tech,adm0_name,adm0_code,adm1_name,adm1_code,adm2_name,adm2_code,population,loss,wind_cat
SH132022,2022-02-25 00:00,OFCL,Madagascar,MDG,Antsiranana,MDG.2_1,Sava,MDG.2.2_1,22437,4345.999344249438,{0: 22437}
SH132022,2022-02-25 00:00,OFCL,Madagascar,MDG,Fianarantsoa,MDG.3_1,Amoron'i mania,MDG.3.1_1,63049,91.8702408384917,{0: 63049}
SH132022,2022-02-25 00:00,OFCL,Madagascar,MDG,Fianarantsoa,MDG.3_1,Atsimo-Atsinana,MDG.3.2_1,1362894,57286329.04660613,"{1: 81389, 2: 403822, 3: 877683}"
SH132022,2022-02-25 00:00,OFCL,Madagascar,MDG,Fianarantsoa,MDG.3_1,Haute matsiatra,MDG.3.3_1,1010743,403747.5913996537,"{0: 614917, 1: 394499, 2: 1327}"
SH132022,2022-02-25 00:00,OFCL,Madagascar,MDG,Fianarantsoa,MDG.3_1,Ihorombe,MDG.3.4_1,499580,5766242.366913156,"{0: 206117, 1: 116364, 2: 94399, 3: 82700}"
SH132022,2022-02-25 00:00,OFCL,Madagascar,MDG,Fianarantsoa,MDG.3_1,Vatovavy Fitovinany,MDG.3.5_1,1881101,27195315.005065672,"{0: 349918, 1: 636226, 2: 550707, 3: 344250}"
SH132022,2022-02-25 00:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,Sofia,MDG.4.4_1,49800,67.21499069325688,{0: 49800}
SH132022,2022-02-25 00:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,Alaotra-Mangoro,MDG.5.1_1,692536,30386.070356482225,"{0: 654333, 1: 38203}"
SH132022,2022-02-25 00:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,Analanjirofo,MDG.5.2_1,808368,70427.39126137306,"{0: 769591, 1: 38777}"
SH132022,2022-02-25 00:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,Atsinanana,MDG.5.3_1,960509,84475.54456394225,"{0: 853538, 1: 106971}"
SH132022,2022-02-25 00:00,OFCL,Madagascar,MDG,Toliary,MDG.6_1,Androy,MDG.6.1_1,1173328,4517575.338235846,"{0: 33957, 1: 838178, 2: 298598, 3: 2595}"
SH132022,2022-02-25 00:00,OFCL,Madagascar,MDG,Toliary,MDG.6_1,Anosy,MDG.6.2_1,770430,6326578.739952622,"{0: 324519, 1: 214238, 2: 160744, 3: 70929}"
SH132022,2022-02-25 00:00,OFCL,Madagascar,MDG,Toliary,MDG.6_1,Atsimo-Andrefana,MDG.6.3_1,1129313,1749172.8689746556,"{0: 543739, 1: 483651, 2: 101923}"
SH132022,2022-02-25 00:00,OFCL,Mauritius,MUS,Black River,MUS.2_1,,No Adm2,93912,109398.85599866122,"{0: 11177, 1: 82735}"
SH132022,2022-02-25 00:00,OFCL,Mauritius,MUS,Flacq,MUS.3_1,,No Adm2,140810,249260.47053463093,"{0: 11177, 1: 82735}"
SH132022,2022-02-25 00:00,OFCL,Mauritius,MUS,Grand Port,MUS.4_1,,No Adm2,113523,136355.52485856996,"{0: 11177, 1: 82735}"
