atcf_id,dtg,tech,adm0_name,adm0_code,adm1_name,adm1_code,adm2_name,adm2_code,population,loss,wind_cat
SH192022,2022-03-12 06:00,OFCL,Madagascar,MDG,Antsiranana,MDG.2_1,Sava,MDG.2.2_1,102502,21818.399734899074,"{0: 73003, 1: 29499}"
SH192022,2022-03-12 06:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,Boeny,MDG.4.2_1,176001,21506.72451768983,"{0: 156770, 1: 19139, 2: 92}"
SH192022,2022-03-12 06:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,Melaky,MDG.4.3_1,108515,4124.089606718156,"{0: 103696, 1: 4819}"
SH192022,2022-03-12 06:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,Sofia,MDG.4.4_1,452978,34560.98440955414,"{0: 418100, 1: 34878}"
SH192022,2022-03-12 06:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,Analanjirofo,MDG.5.2_1,586749,77610.602147086,"{0: 463986, 1: 122763}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Cabo Delgado,MOZ.1_1,Ancuabe,MOZ.1.1_1,59245,120.42767924609512,{0: 59245}
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Cabo Delgado,MOZ.1_1,Balama,MOZ.1.2_1,1835,6.39888571841468,{0: 1835}
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Cabo Delgado,MOZ.1_1,Chiúre,MOZ.1.3_1,148406,4197.833452954942,{0: 148406}
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Cabo Delgado,MOZ.1_1,Mecufi,MOZ.1.5_1,9993,2.708966396289109,{0: 9993}
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Cabo Delgado,MOZ.1_1,Namuno,MOZ.1.11_1,149479,2811.615093599333,{0: 149479}
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,Angoche,MOZ.7.1_1,359738,17421568.691533532,"{2: 199898, 3: 158554, 4: 1286}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,Erati,MOZ.7.2_1,149757,2639774.183532055,"{1: 10858, 2: 130617, 3: 8282}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,Lalaua,MOZ.7.3_1,99754,7084.05244808217,"{0: 90190, 1: 9564}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,Malema,MOZ.7.4_1,179531,48617.05983767298,"{0: 116145, 1: 63386}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,Meconta,MOZ.7.5_1,211872,32135034.061900895,"{3: 209523, 4: 2349}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,Mecuburi,MOZ.7.6_1,221493,1451262.0348524153,"{0: 30147, 1: 91217, 2: 99030, 3: 1099}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,Memba,MOZ.7.7_1,330099,934807.9435106765,"{0: 14479, 1: 271698, 2: 43922}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,Mogovolas,MOZ.7.8_1,449978,18012396.96816666,"{1: 3964, 2: 184220, 3: 261794}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,Moma,MOZ.7.9_1,439445,1716091.0776046282,"{0: 352, 1: 345191, 2: 93902}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,Monapo,MOZ.7.10_1,457779,72003479.94876447,"{2: 6437, 3: 336413, 4: 114929}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,Mongincual,MOZ.7.11_1,240359,92033784.61305088,"{3: 56782, 4: 170207, 5: 13370}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,Mossuril,MOZ.7.12_1,221566,49077581.8462114,"{2: 6496, 3: 84502, 4: 130568}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,Muecate,MOZ.7.13_1,143687,8821139.284323668,"{1: 2470, 2: 60293, 3: 80924}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,Murrupula,MOZ.7.14_1,218650,5758000.958979293,"{1: 630, 2: 184132, 3: 33888}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,Nacala Velha,MOZ.7.15_1,399393,9287187.00667298,"{2: 330590, 3: 68803}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,Namapa,MOZ.7.16_1,356231,315716.23551817803,"{0: 98747, 1: 257244, 2: 240}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,Nampula,MOZ.7.17_1,1219812,84871772.37880541,"{2: 55019, 3: 1164793}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,Ribaue,MOZ.7.18_1,306777,1832131.6444195365,"{0: 203, 1: 167560, 2: 139014}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Nassa,MOZ.8_1,Cuamba,MOZ.8.1_1,16,0.0006924628590331,{0: 16}
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Nassa,MOZ.8_1,Nipepe,MOZ.8.14_1,4505,2.4663826002098403,{0: 4505}
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Zambezia,MOZ.11_1,Alto Molocue,MOZ.11.1_1,453848,400464.0423559901,"{0: 86179, 1: 367669}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Zambezia,MOZ.11_1,Gile,MOZ.11.3_1,251359,376492.0516038582,"{0: 99624, 1: 137283, 2: 14452}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Zambezia,MOZ.11_1,Gurue,MOZ.11.4_1,422771,57541.370453634256,"{0: 344734, 1: 78037}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Zambezia,MOZ.11_1,Ile,MOZ.11.5_1,122073,1939.3337408375214,"{0: 120774, 1: 1299}"
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Zambezia,MOZ.11_1,Maganja da Costa,MOZ.11.8_1,13126,1.7137716016411413,{0: 13126}
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Zambezia,MOZ.11_1,Namarroi,MOZ.11.14_1,28672,24.99125801377755,{0: 28672}
SH192022,2022-03-12 06:00,OFCL,Mozambique,MOZ,Zambezia,MOZ.11_1,Pebane,MOZ.11.16_1,259867,33723.882235335266,"{0: 211786, 1: 48081}"
