atcf_id,dtg,tech,adm0_name,adm0_code,adm1_name,adm1_code,population,loss,wind_cat
SH082022,2022-02-09 12:00,OFCL,Madagascar,MDG,Antananarivo,MDG.1_1,7957948,236696665.12490252,"{0: 8125, 1: 769980, 2: 4726428, 3: 2440179, 4: 13236}"
SH082022,2022-02-09 12:00,OFCL,Madagascar,MDG,Fianarantsoa,MDG.3_1,5774874,764385158.9333667,"{1: 312203, 2: 1126472, 3: 2745825, 4: 1590374}"
SH082022,2022-02-09 12:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,845141,187351.13827575694,"{0: 704438, 1: 137561, 2: 3142}"
SH082022,2022-02-09 12:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,3262677,70223534.21197933,"{0: 505343, 1: 1586918, 2: 565151, 3: 568421, 4: 36844}"
SH082022,2022-02-09 12:00,OFCL,Madagascar,MDG,Toliary,MDG.6_1,4472723,6686459.154224668,"{0: 1886265, 1: 2306054, 2: 244123, 3: 36281}"
SH082022,2022-02-09 12:00,OFCL,Mauritius,MUS,Black River,MUS.2_1,94560,1448793.8695363675,"{1: 87492, 2: 7068}"
SH082022,2022-02-09 12:00,OFCL,Mauritius,MUS,Flacq,MUS.3_1,140810,2491326.9556760397,"{1: 134701, 2: 6109}"
SH082022,2022-02-09 12:00,OFCL,Mauritius,MUS,Grand Port,MUS.4_1,113523,2466440.1141789155,{1: 113523}
SH082022,2022-02-09 12:00,OFCL,Mauritius,MUS,Moka,MUS.5_1,88800,1350588.571606318,{1: 88800}
SH082022,2022-02-09 12:00,OFCL,Mauritius,MUS,Pamplemousses,MUS.6_1,148742,2842938.9561421266,"{1: 141220, 2: 7522}"
SH082022,2022-02-09 12:00,OFCL,Mauritius,MUS,Plaines Wilhems,MUS.7_1,365517,5519218.542413296,"{1: 339488, 2: 26029}"
SH082022,2022-02-09 12:00,OFCL,Mauritius,MUS,Port Louis,MUS.8_1,111040,1516169.0364236734,"{1: 110862, 2: 178}"
SH082022,2022-02-09 12:00,OFCL,Mauritius,MUS,Rivière du Rempart,MUS.9_1,113200,5698667.003191313,"{1: 14857, 2: 98343}"
SH082022,2022-02-09 12:00,OFCL,Mauritius,MUS,Savanne,MUS.12_1,70087,534927.7441302022,{1: 70087}
SH082022,2022-02-09 12:00,OFCL,Reunion,REU,Saint-Benoît,REU.1_1,140447,7572592.613901249,"{1: 103326, 2: 37121}"
SH082022,2022-02-09 12:00,OFCL,Reunion,REU,Saint-Denis,REU.2_1,308269,11732062.790015278,"{1: 266863, 2: 41406}"
SH082022,2022-02-09 12:00,OFCL,Reunion,REU,Saint-Paul,REU.3_1,201260,3084552.1315949764,"{1: 198768, 2: 2492}"
SH082022,2022-02-09 12:00,OFCL,Reunion,REU,Saint-Pierre,REU.4_1,313164,4031953.011417465,"{1: 310024, 2: 3140}"
