atcf_id,dtg,tech,adm0_name,adm0_code,population,loss,wind_cat
SH022025,2024-11-23 12:00,JTWC,Mauritius,MUS,44652,364967.22443052236,{1: 44652}
SH022025,2024-11-23 12:00,JTWC,Reunion,REU,255047,140963.35286871096,"{0: 232013, 1: 23034}"
