atcf_id,dtg,tech,adm0_name,adm0_code,adm1_name,adm1_code,population,loss,wind_cat
SH132022,2022-02-25 00:00,OFCL,Madagascar,MDG,Antsiranana,MDG.2_1,22437,4345.999344249438,{0: 22437}
SH132022,2022-02-25 00:00,OFCL,Madagascar,MDG,Fianarantsoa,MDG.3_1,4817367,90651725.88022545,"{0: 1234001, 1: 1228478, 2: 1050255, 3: 1304633}"
SH132022,2022-02-25 00:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,49800,67.21499069325688,{0: 49800}
SH132022,2022-02-25 00:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,2461413,185289.00618179754,"{0: 2277462, 1: 183951}"
SH132022,2022-02-25 00:00,OFCL,Madagascar,MDG,Toliary,MDG.6_1,3073071,12593326.947163124,"{0: 902215, 1: 1536067, 2: 561265, 3: 73524}"
SH132022,2022-02-25 00:00,OFCL,Mauritius,MUS,Black River,MUS.2_1,93912,109398.85599866122,"{0: 11177, 1: 82735}"
SH132022,2022-02-25 00:00,OFCL,Mauritius,MUS,Flacq,MUS.3_1,140810,249260.47053463093,{1: 140810}
SH132022,2022-02-25 00:00,OFCL,Mauritius,MUS,Grand Port,MUS.4_1,113523,136355.52485856996,"{0: 3385, 1: 110138}"
SH132022,2022-02-25 00:00,OFCL,Mauritius,MUS,Moka,MUS.5_1,88800,97797.13091100402,"{0: 8911, 1: 79889}"
SH132022,2022-02-25 00:00,OFCL,Mauritius,MUS,Pamplemousses,MUS.6_1,148742,160811.88922894138,{1: 148742}
SH132022,2022-02-25 00:00,OFCL,Mauritius,MUS,Plaines Wilhems,MUS.7_1,365517,283033.9626340852,"{0: 10183, 1: 355334}"
SH132022,2022-02-25 00:00,OFCL,Mauritius,MUS,Port Louis,MUS.8_1,111040,50031.8302823081,"{0: 725, 1: 110315}"
SH132022,2022-02-25 00:00,OFCL,Mauritius,MUS,Rivière du Rempart,MUS.9_1,113200,432888.5954729827,{1: 113200}
SH132022,2022-02-25 00:00,OFCL,Mauritius,MUS,Savanne,MUS.12_1,70087,38800.621772745755,"{0: 32825, 1: 37262}"
SH132022,2022-02-25 00:00,OFCL,Reunion,REU,Saint-Benoît,REU.1_1,140447,3597907.3126668506,"{0: 17602, 1: 122845}"
SH132022,2022-02-25 00:00,OFCL,Reunion,REU,Saint-Denis,REU.2_1,294156,6995280.72483762,"{0: 52302, 1: 241854}"
SH132022,2022-02-25 00:00,OFCL,Reunion,REU,Saint-Paul,REU.3_1,137228,1903255.7157365233,"{0: 133083, 1: 4145}"
SH132022,2022-02-25 00:00,OFCL,Reunion,REU,Saint-Pierre,REU.4_1,77199,86341.64730568446,"{0: 65093, 1: 12106}"
