tc_season,atcf_id,storm_name,adm0_name,adm0_code,adm1_name,adm1_code,jtwc_start_time_15as,jtwc_start_time_30as,jtwc_end_time_15as,jtwc_end_time_30as,tech_15as,tech_30as,population_15as,population_30as,loss_15as,loss_30as,wind_cat_15as,wind_cat_30as,wind_cat_0_15as,wind_cat_0_30as,wind_cat_1_15as,wind_cat_1_30as,wind_cat_2_15as,wind_cat_2_30as,wind_cat_3_15as,wind_cat_3_30as,wind_cat_4_15as,wind_cat_4_30as,wind_cat_5_15as,wind_cat_5_30as
1980,SH081980,NONAME,Madagascar,MDG,Alaotra Mangoro,MDG,,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,958445.0,,1264120.79,,"{0: 173760, 1: 650764, 2: 133921}",,173760.0,,650764.0,,133921.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,Madagascar,MDG,Amoron'i Mania,MDG,,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,9830.0,,0.12,,{0: 9830},,9830.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,Madagascar,MDG,Analamanga,MDG,,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,2938980.0,,28370.93,,"{0: 2859663, 1: 79317}",,2859663.0,,79317.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,Madagascar,MDG,Analanjirofo,MDG,,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,1456986.0,,3341096.84,,"{0: 167889, 1: 1067469, 2: 221628}",,167889.0,,1067469.0,,221628.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,Madagascar,MDG,Atsinanana,MDG,,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,560677.0,,629708.09,,"{0: 153845, 1: 304501, 2: 102331}",,153845.0,,304501.0,,102331.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,Madagascar,MDG,Betsiboka,MDG,,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,125114.0,,16818.03,,"{0: 91567, 1: 33547}",,91567.0,,33547.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,Madagascar,MDG,Boeny,MDG,,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,4735.0,,0.01,,{0: 4735},,4735.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,Madagascar,MDG,Bongolava,MDG,,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,44601.0,,6.23,,{0: 44601},,44601.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,Madagascar,MDG,Diana,MDG,,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,2399.0,,0.04,,{0: 2399},,2399.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,Madagascar,MDG,Haute Matsiatra,MDG,,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,104.0,,0.0,,{0: 104},,104.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,Madagascar,MDG,Itasy,MDG,,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,228397.0,,181.26,,{0: 228397},,228397.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,Madagascar,MDG,Sava,MDG,,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,236434.0,,15350.89,,"{0: 212854, 1: 23580}",,212854.0,,23580.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,Madagascar,MDG,Sofia,MDG,,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,776183.0,,131602.4,,"{0: 597551, 1: 178273, 2: 359}",,597551.0,,178273.0,,359.0,,0.0,,0.0,,0.0
